Metric,Treatment,Farm,Temperature,Day,K
VS,weekly flushing,B,25,14,0.0162790870397889
VS,weekly flushing,B,25,30,0.0115496801564377
VS,weekly flushing,B,25,90,0.00455939398085623
Lipids,weekly flushing,B,25,30,0.00633591743589808
Lipids,weekly flushing,B,25,90,0.00132560291623403
Hemicellulose,weekly flushing,B,25,30,0.0146601315188288
Hemicellulose,weekly flushing,B,25,90,0.00427431727744971
Cellulose,weekly flushing,B,25,30,0.0250713298433957
Cellulose,weekly flushing,B,25,90,0.0138127018133632
TS,weekly flushing,B,25,14,0.00905290456372481
TS,weekly flushing,B,25,30,0.00649179106611765
TS,weekly flushing,B,25,90,0.00259077626773032
CP,weekly flushing,B,25,14,0.0897753972968945
CP,weekly flushing,B,25,30,0.0338528067130427
CP,weekly flushing,B,25,90,0.00788876925458801
NDF,weekly flushing,B,25,30,0.015226917290187
NDF,weekly flushing,B,25,90,0.00500702554311532
VS,weekly flushing,B,25,14,0.00859056124851229
VS,weekly flushing,B,25,30,0.00834528469777082
VS,weekly flushing,B,25,90,0.00384490848394131
Lipids,weekly flushing,B,25,30,-0.000679503690337105
Lipids,weekly flushing,B,25,90,0.00101517025913445
Hemicellulose,weekly flushing,B,25,30,0.0132803126495855
Hemicellulose,weekly flushing,B,25,90,0.00428248488839799
Cellulose,weekly flushing,B,25,30,0.0241472254179306
Cellulose,weekly flushing,B,25,90,0.00891865049215711
TS,weekly flushing,B,25,14,0.00277244808957754
TS,weekly flushing,B,25,30,0.00419468069617342
TS,weekly flushing,B,25,90,0.0019273891638944
CP,weekly flushing,C,17.5,30,-0.0021809586961319
CP,weekly flushing,C,17.5,90,0.00743929336288947
NDF,weekly flushing,C,17.5,30,0.00219760781691109
NDF,weekly flushing,C,17.5,90,0.000847048654529387
VS,weekly flushing,C,17.5,30,0.00521053444013318
VS,weekly flushing,C,17.5,90,0.00228963493678435
Lipids,weekly flushing,C,17.5,30,0.00672599960842849
Lipids,weekly flushing,C,17.5,90,0.000899777167297708
Hemicellulose,weekly flushing,C,17.5,30,0.00132556435651734
Hemicellulose,weekly flushing,C,17.5,90,0.000645036908945925
Cellulose,weekly flushing,C,17.5,30,0.00567241502715441
Cellulose,weekly flushing,C,17.5,90,0.00242015520930113
TS,weekly flushing,C,17.5,30,0.00340850547272751
TS,weekly flushing,C,17.5,90,0.00151834093626794
CP,weekly flushing,C,17.5,30,0.019300281038466
CP,weekly flushing,C,17.5,90,0.0109321152089181
NDF,weekly flushing,C,17.5,30,-0.000613634783510471
NDF,weekly flushing,C,17.5,90,0.00110209172387941
VS,weekly flushing,C,17.5,30,0.00749389199724405
VS,weekly flushing,C,17.5,90,0.00489180047056553
Lipids,weekly flushing,C,17.5,30,0.00567972293476884
Lipids,weekly flushing,C,17.5,90,0.00638886597573783
Hemicellulose,weekly flushing,C,17.5,30,-0.00910796169481402
Hemicellulose,weekly flushing,C,17.5,90,0.000802373204605869
Cellulose,weekly flushing,C,17.5,30,0.0286846369644531
Cellulose,weekly flushing,C,17.5,90,0.00304051823826881
TS,weekly flushing,C,17.5,30,0.00437228356939079
TS,weekly flushing,C,17.5,90,0.00280479151719008
CP,weekly flushing,D,17.5,30,0.0133898895923194
CP,weekly flushing,D,17.5,90,-0.00218151225026259
NDF,weekly flushing,D,17.5,30,0.001892733453518
NDF,weekly flushing,D,17.5,90,0.00214419395577863
VS,weekly flushing,D,17.5,30,0.00543917686493579
VS,weekly flushing,D,17.5,90,0.00293140483504773
Lipids,weekly flushing,D,17.5,30,0.00703542386391015
Lipids,weekly flushing,D,17.5,90,0.000582968523592083
Hemicellulose,weekly flushing,D,17.5,30,0.00263696596580901
Hemicellulose,weekly flushing,D,17.5,90,0.00281261614948644
Cellulose,weekly flushing,D,17.5,30,0.00361738644399728
Cellulose,weekly flushing,D,17.5,90,0.00269496188516337
TS,weekly flushing,D,17.5,30,0.00365935630103264
TS,weekly flushing,D,17.5,90,0.00202105474686447
CP,weekly flushing,D,17.5,30,-0.00134104018450312
CP,weekly flushing,D,17.5,90,0.0169075606043254
NDF,weekly flushing,D,17.5,30,0.00440201886120198
NDF,weekly flushing,D,17.5,90,0.00238921803376769
VS,weekly flushing,D,17.5,30,0.0041212787183014
VS,weekly flushing,D,17.5,90,0.00347457830605331
Lipids,weekly flushing,D,17.5,30,0.00240724450036989
Lipids,weekly flushing,D,17.5,90,0.00343173930286905
Hemicellulose,weekly flushing,D,17.5,30,0.00388036288379417
Hemicellulose,weekly flushing,D,17.5,90,0.00276952684542837
Cellulose,weekly flushing,D,17.5,30,0.00839538873917947
Cellulose,weekly flushing,D,17.5,90,0.00383052712950721
TS,weekly flushing,D,17.5,30,0.0029838514382901
TS,weekly flushing,D,17.5,90,0.00229784082124081
